ame,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
"Steirereck im Stadtpark","Am Heumarkt 2a, Vienna, 1030, Austria","Vienna, Austria","€€€€","Creative, Contemporary",16.3815669,48.2043967,+4317133168,https://guide.michelin.com/en/vienna/wien/restaurant/steirereck-im-stadtpark,https://www.steirereck.at/,"3 Stars",0,"Air conditioning,Garden or park,Interesting wine list,Terrace,Wheelchair access","The architecture is the first thing you notice! Located in the Stadtpark, the building has a futuristic feel. The interior is bright and airy, featuring clean lines and elegant modern design; you can look into the kitchen through the pass. The clever division of the space into different wings creates a calm and relaxed atmosphere. The exceptional politeness and utmost professionalism of the service team ensure that you feel welcome and comfortable from the moment you arrive. Special mention goes to Birgit Reitbauer, an exemplary hostess, and sommelier René Antrag, for his superb wine recommendations – the perfect complement to Heinz Reitbauer and Michael Bauböck's distinctive, creative and often surprising cuisine. At lunchtime and in the evening, a six- or seven-course set menu is proposed, with an additional fantastic à la carte selection available in the evening. You can also compose your own four-or five-course set menu at lunchtime. The restaurant's bread and cheese trolley is renowned far beyond the city limits – the staff will enthusiastically talk you through the options."
Amador,"Grinzinger Straße 86, Vienna, 1190, Austria","Vienna, Austria","€€€€","Creative, Contemporary",16.3586534,48.2539745,+436609070500,https://guide.michelin.com/en/vienna/wien/restaurant/amador,https://www.restaurant-amador.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Terrace","A culinary highlight for the city and for Austria. This restaurant's location on the outskirts of the city in the Hajszan Neumann wine estate is something special in itself. Here, a wonderful brick vaulted ceiling and stylish interior design make for a distinctive look. Juan Amador's cuisine more than lives up to the setting: the finest ingredients are used to create a modern and sophisticated set menu comprising dishes that are finely balanced and consistently harmonious. The creative mastermind of this operation is supported by a highly motivated and pleasingly cordial team. Impressive wine list."
"Jungsik New York","2 Harrison St., New York, 10013, USA","New York, USA",$$$$,"Korean, Contemporary",-74.0091114,40.7187256,+12122190900,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik-new-york,https://www.jungsik.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","Cool and polished, this dining room bears that perfectly downtown nexus of low-key yet elegant; with its dark and light color scheme and intimate proportions. Chef/owner Mr. Yim Jung Sik and Executive Chef Daeik Kim's Korean meal starts like many do, with an array of banchan; however, the presentation here is unlike any other; and it's just that creativity that makes dining here so distinctive. From there, the tasting menu unfolds to reveals delights such as slivers of raw striped jack with white kimchi and chilled fish bone broth; gorgeously crisped octopus with gochujang aioli; and dry-aged Arctic char in a pool of kimchi and red curry sauce. This is cooking that is highly original, impeccably executed, and enormously satisfying; a meal that makes you involuntarily nod to yourself while you’re eating."
"Per Se","10 Columbus Circle, New York, 10019, USA","New York, USA",$$$$,"Contemporary, French",-73.9825882,40.7680545,+12128239335,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,https://www.thomaskeller.com/perseny,"3 Stars",0,"Air conditioning,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","An experience at Thomas Keller’s Per Se is one to be savored, recounted and remembered. Despite stellar views and a clever design allowing each table a view, your attention won’t stray from the plate. Such is the appeal of the place.There are two menus, one of which is vegetarian and may highlight a playful twist on borscht, with red beet agnolotti and crème fraîche. Both menus end in a grand dessert finale, like seasonal confections as well as such classics as a cappuccino semifreddo served with brioche donuts. They do offer supplements using lavish ingredients, but unless you’re richer than Croesus, you needn’t consider them. Just put yourself in the chef's hands and relish a meal that is balanced, varied and as seasonal as it gets."
"Le Bernardin","155 W. 51st St., New York, 10019, USA","New York, USA",$$$$,Seafood,-73.98223,40.76177,+12125541515,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for close to 30 years and its popularity remains undimmed. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s lusciously sweet, seared langoustine in a truffled broth or golden-brown fluke with a bouillabaisse enriched with sea urchin. While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Finish with purple sweet potato baba au whisky cloaked with caramelized pecan whipped cream."
"Eleven Madison Park","11 Madison Ave., New York, 10010, USA","New York, USA",$$$$,"Vegan, Innovative",-73.9872414,40.7415543,+12128890905,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Chef Daniel Humm presides over this temple of modern elegance with a zealous dedication to masterful precision. Nothing is out of place and everything is custom made, from the staff’s suits to the handblown water vases.The plant-based menu is a bold vision of luxury dining and elevates the concept to unparalleled heights. The freshly baked, delicately crisped vegan roll presented with faux butter is a magical creation. A quenelle of tonburi, mimicking caviar, plated with horseradish cream and accompanied by a radish tostada with a swipe of pumpkin seed butter is simply stunning. Toothsome braised seitan, wrapped in spinach and dressed with morels, is amplified with luscious sauce work.Desserts, perhaps a frozen cherry blossom and rose confection dressed with strawberries, are equally accomplished."
Masa,"10 Columbus Circle, New York, 10019, USA","New York, USA",$$$$,"Japanese, Sushi",-73.98234,40.76819,+12128239800,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list,Notable sake list,Wheelchair access","There is nothing like an omakase in the care of Chef Masa Takayama. The commotion of Columbus Circle gives way to the calm, collected ceremony of a room anchored by a strikingly smooth hinoki counter. Everything is in place, as chefs and servers work with a kind of harmony that recalls ballet. Every decision, every move, is in the service of his distinctive style, which many have copied but none have mastered. Fragrant white and black truffles, pearly beads of Osetra caviar, and vibrant garnishes make for brilliant touches that straddle the line between luxury and excess. Few have both the imagination and the know-how to make foie gras nigiri, and few serve abalone so meltingly tender. It is a captivating experience that is singularly memorable."
"The Inn at Little Washington","309 Middle St., Washington, 22747, USA","Washington, USA",$$$$,"American, French",-78.1595348,38.7134767,+15406753800,https://guide.michelin.com/en/district-of-columbia/washington-dc/restaurant/the-inn-at-little-washington,https://www.theinnatlittlewashington.com/,"3 Stars",1,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","Chef Patrick O’Connell has long been the steward of this idyllic restaurant just outside Washington. In a town whose very existence seems tied to his success, dinner here recalls another era. The dining room is embellished to the very last inch, with fringe and fabric all over, patterned carpets, and lush wallpaper. The menu is divided between classics and vegetables, most of which are sourced locally and from the team’s own garden. Dinner always begins with pimento cheese packed into a crisp chip and ends with a playful pear dessert. In between, courses like lobster with caviar beurre blanc show the kitchen at its very best. And all throughout, roaming bread and cheese carts are a reminder of a luxury that’s less and less common."
Smyth,"177 N. Ada St., Chicago, 60607, USA","Chicago, USA",$$$$,"Contemporary, Creative",-87.6606324,41.8850485,+17739133773,https://guide.michelin.com/en/illinois/chicago/restaurant/smyth,https://www.smythandtheloyalist.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","The very chic Smyth with its lounge styling and open kitchen is helmed by Chefs John Shields and Karen Urie-Shields. Their cooking is bold and often pushes boundaries, all the while impressing. Sheer creativity is applied to seasonal produce, some of which comes from their garden. A quail egg, gently smoked and topped with caviar, is given a twist with barley caramel. Resting inside its shell, plump Maine uni, amplified with a divine peach gel and wasabi cream, is both stunning and memorable. The chef's creativity is on full display in an utterly unique Dungeness crab dish, while wagyu sided by a truffle-flavored doughnut with marrow glaze is yet another hit. Savory sweets, like new potato ice cream, a corn macaron with peppery nasturtium, or the dark chocolate tartlet studded with kombu, raise the bar."
Alinea,"1723 N. Halsted St., Chicago, 60614, USA","Chicago, USA",$$$$,"Creative, Modern Cuisine",-87.648174,41.9132737,+13128670110,https://guide.michelin.com/en/illinois/chicago/restaurant/alinea,https://www.alinearestaurant.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Terrace,Valet parking,Wheelchair access","Chef Grant Achatz continues to burst with novel ideas at this ingenious, substantive, and festive temple. Dining here is part theater and pure pleasure; and meals are an olfactory experience by dint of scented vapors, tricks, and tableside fun.Executive Chef Douglas Alley is firmly in play, turning out whimsical items that are at times experimental. For starters, a custom resin dish bearing cured Arctic char, crowned by crisped skin glazed with maple syrup. The dish is then flipped to reveal roe suspended in smoke gel. The flavors of Thailand follow in salt-baked kohlrabi shaved tableside. The meal meets its dramatic end with a ""Paint"" dessert—think of a Pollock-esque creation with blueberries and a liquid N2-frozen block of chocolate mousse smashed to bits."
Sorn,"56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, Thailand","Bangkok, Thailand","฿฿฿฿","Southern Thai",100.5684937,13.7231336,+66990811119,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/sorn,https://www.sornfinesouthern.com,"3 Stars",0,"Air conditioning,Car park,Interesting wine list","Immerse yourself in the food culture of Southern Thailand, with the exquisite cooking of self-taught Chef-Owner Supaksorn Jongsiri. Blending tradition with modernity, refinement with evolution, his perfectly paced menu offers an array of exhilarating flavours, all of which are in perfect harmony. Whether Tapi River prawns, Phuket lobster or Andaman squid, the ingredients will be truly stunning. The whole experience will more than make up for the very thorough process involved in securing a table."
Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain","Larrabetzu, Spain","€€€€",Creative,-2.81454,43.26065,+34944558359,https://guide.michelin.com/en/pais-vasco/larrabetzu/restaurant/azurmendi,http://www.azurmendi.restaurant,"3 Stars",1,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","A flagship of Vizcaya’s fine-dining scene and a leading light in sustainability, Azurmendi is a shining example of how to work with the environment around us. To do this, it has adapted its architecture and produce, and integrated new technologies in its quest to become a responsible restaurant business that aims to cook for a better future. Chef Eneko Atxa nurtures a sapling of the Tree of Gernika at the entrance of the restaurant in a manifestation of his desire to preserve the area's indigenous flora and fauna, to safeguard the values of Basque culture, and to offer guests a creative and informative culinary experience that is dedicated to the conservation of endemic species. His single tasting menu (Adarrak) includes an informative tour of the premises, such as the picnic served in a wicker basket in front of a vertical garden, snacks in a space decorated with recycled organic materials, and maritime-inspired appetisers in the corridor of the kitchen so you can watch its chefs hard at work. The superb wine list includes many limited production labels."
Aponiente,"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain","El Puerto de Santa María, Spain","€€€€","Creative, Innovative",-6.2164435,36.6033273,+34606225859,https://guide.michelin.com/en/andalucia/el-puerto-de-santa-maria/restaurant/aponiente,https://www.aponiente.com/,"3 Stars",1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Ángel León, whose restaurant is housed in a tide mill dating back two centuries, is known as “the chef of the sea” and any mention of him means a journey of continual gastronomic discovery. As he says himself, at Aponiente “the aim is to raise awareness, open people's minds and introduce them to new concepts that are impossible to find anywhere else”. Totally committed to sustainability, this is a chef who seeks to surprise diners with new techniques and ingredients (such as seafood sausages, plankton, bioluminescence, cooking with seawater etc), always honing a philosophy which revolves around recycling, making the most of what the natural estuaries have to offer and championing the salvaging of discarded fish. His contemporary cuisine, based around resources from both the Mediterranean and the Atlantic, provides further surprises on the dessert menu, on which dishes somehow manage to combine the maritime world with sweeter textures (his “20 leagues under the sea”, a seaweed millefeuille presented inside a book by Jules Verne, is a particular delight)."
DiverXO,"Padre Damián 23, Madrid, 28036, Spain","Madrid, Spain","€€€€",Creative,-3.6856715,40.4582913,+34915700766,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/diverxo,https://diverxo.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","With dishes such as “Galician lobster waking up on the beaches of Goa”, “drunken crabs partying in Jerez”, and the “Minutejo del Agus” mini pork sandwich (a homage to snacks he enjoyed as a child with his father), Dabiz Muñoz’s fun, hedonistic and often irreverent cuisine breaks the mould of cutting-edge gastronomic cuisine by entering his highly personal and dream-like world. As a result, he ensures a rollercoaster of emotions that constantly challenge the palate. In this striking setting, the single “Flying Pigs Cuisine” tasting menu invites his guests on a spectacular journey across the world’s different cuisines, including Asian fusion, but with the predominant use of Spanish ingredients to help create more recognisable flavours. Highlighting themes such as invasive species and the Pyrenean ecosystem, the chef works without limits, combining local ingredients with exotic condiments. You’ll need to book well in advance to secure a table!"
Noor,"Pablo Ruiz Picasso 8, Córdoba, 14014, Spain","Córdoba, Spain","€€€€",Creative,-4.7585272,37.8899393,+34957964055,https://guide.michelin.com/en/andalucia/cordoba/restaurant/noor,https://noorrestaurant.es/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","Meaning “light” in Arabic, Noor is so much more than a fine-dining restaurant. Behind every detail there is a multi-faceted team that contributes its knowledge to bring to the fore the essence of the cultured and magical city of Córdoba, which has been a beacon of light since the reign of Caliph Abd al-Rahman III. In the restaurant's bright interior, with its open kitchen and incredible interior design, chef Paco Morales (ably supported by second in command Paola Gualandi) revives the spirit of Andalusian cuisine using modern ideas and techniques. Every season, the restaurant explores a different historical period, currently the “Golden Age”, as part of which three menus (Mudéjar, Morisco and Al-Yazira) reinterpret the splendour of the 16C and 17C. Standout dishes here include the durum wheat with smoked butter and chicken and calamari broth (a reinterpretation of the Abbasiya recipe) and the locally grown oranges with orange blossom, fried almonds and extra virgin olive oil for dessert."
"Cenador de Amós","Plaza del Sol, Villaverde de Pontones, 39793, Spain","Villaverde de Pontones, Spain","€€€€","Modern Cuisine",-3.6988243,43.4124884,+34942508243,https://guide.michelin.com/en/cantabria/villaverde-de-pontones/restaurant/cenador-de-amos,https://www.cenadordeamos.com/,"3 Stars",1,"Air conditioning,Car park,Interesting wine list","Discover the secrets hidden in the Casa-Palacio Mazarrasa (1756), a mecca for foodies that certainly makes an impression and continues to evolve! The culinary experience begins with welcome drinks and appetisers in the glass-paned pavilion or on the terrace, and culminates in elegant dining spaces with a rustic yet modern feel. Always sporting his trademark cap, chef Jesús Sánchez runs the restaurant with the invaluable support of wife Marián Martínez, who is charge of the front of house. He remains consistently loyal to local ingredients, seasonality and to a firm commitment to sustainability via his surprise “La Gran Experiencia” menu, a heartfelt tribute to his natural surroundings, his Cantabrian identity and its history, and all the painstaking research that has gone into every bite. As an example, the sourdough bread baked on the premises always receives fulsome praise. We highly recommend taking a stroll through the small vegetable garden in the grounds and admiring the photos on display which highlight another of the chef’s great passions."
"Quique Dacosta","Rascassa 1, Dénia, 03700, Spain","Dénia, Spain","€€€€",Creative,0.0852209,38.8537884,+34965784179,https://guide.michelin.com/en/comunidad-valenciana/dnia/restaurant/quique-dacosta,https://www.quiquedacosta.es/,"3 Stars",0,"Air conditioning,Interesting wine list","This restaurant reflects the personality of the eponymous chef, who was awarded the Gold Medal for Merit in the Fine Arts in 2020.""Can a flavour be beautiful?"" was the subject of a debate between artists in the documentary Cocinar Belleza (""Cooking Beauty""). Here, it has been thrust to the fore in an aesthetically enchanting tasting menu of the same name. Based on the iconic signature dishes of the house, it also includes other lesser-known creations, which, in the hands of this chef, are the source of unexpected details and harmonies of flavour. His philosophy is to champion nature and showcase the produce of the Mediterranean, always maintaining a clear commitment to the circular economy and even delivering the odd deliberately provocative dish as food for thought."
Atrio,"Plaza San Mateo 1, Cáceres, 10003, Spain","Cáceres, Spain","€€€€",Creative,-6.3713456,39.4730183,+34927242928,https://guide.michelin.com/en/extremadura/cceres/restaurant/atrio,https://atriocaceres.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","A temple of Spanish gastronomy that should be on the bucket list of every food-lover. Atrio exudes elegance, enthusiasm and sincerity, matched by impeccable service to enhance the dining experience to the full. For guests keen to stay over, the superb guestrooms available at the hotel-restaurant are complemented by the eleven highly luxurious suites at the Casa Palacio Paredes Saavedra, barely 30 metres away. Cáceres-born chef Toño Pérez is at the helm, conjuring up creative cuisine of the highest technical level on a single yet extensive tasting menu that the kitchen adapts in line with your preferences. On it, we find the full flavours of Iberian pork (his famous “happy pig”) and the Extremadura region, paying full respect to the DNA of local traditions by showcasing the myriad nuances of his native land (as a result, you’ll find multiple pork-inspired options ranging from pork fat, ham and dewlap to loin, rind and jus). Make sure you take time to visit Atrio’s spectacular wine cellar, featuring highly renowned labels and historic vintages."
"Casa Marcial","La Salgar, Arriondas, 33549, Spain","Arriondas, Spain","€€€€","Creative, Asturian",-5.1931556,43.4184082,+34985840991,https://guide.michelin.com/en/principado-de-asturias/arriondas/restaurant/casa-marcial,http://www.casamarcial.com,"3 Stars",1,"Air conditioning,Car park,Interesting wine list","Ably assisted by two of his sisters (Esther often helps out in the kitchen while Sandra works front of house) and his nephew Jesús, Nacho Manzano invites us on a magical culinary voyage back to his origins, his roots, and the land of his birth, as he draws on the flavours of the Asturias region from a contemporary perspective. In this stunning, remote location surrounded by mountains, Casa Marcial is much more than a restaurant; it bears witness to the close bond the chef forged with his local environment during his childhood. Passion, respect, love and hospitality all contribute to a symphony of sensations on the à carte (featuring Casa Marcial’s signature dishes) as well as the tasting menus (Nordeste “El Cachucho”, Nordeste “El Fitu” and La Salgar), all of which focus on exquisite produce sourced in the Cantabrian Sea and zero-mile ingredients in a bid to support rural development. Standout dishes here include grilled teardrop peas with hake cheek and mushrooms, as well as the array of freshwater fish which are always cooked to perfection."
"El Celler de Can Roca","Can Sunyer 48, Girona, 17007, Spain","Girona, Spain","€€€€",Creative,2.807927,41.9932026,+34972222157,https://guide.michelin.com/en/catalunya/girona/restaurant/el-celler-de-can-roca,http://www.cellercanroca.com,"3 Stars",1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","The Roca brothers like to say that their success is down to the balance struck in a metaphorical ""three-player game"", with Joan in charge of the savoury dishes, Josep as the sommelier and Jordi on dessert duty.But little matter how they go about winning diners over, their ultimate goal is to create a feast for the eyes, the palate and all of the senses. This is an exceptionally high-calibre restaurant that celebrates contrasts, memories, journeys... It is also characterised by a penchant for working with local produce, a focus on sustainability and the aim to ""raise awareness"" of the challenges posed by climate change. The spectacular appetisers are a tribute to the evolution of this establishment and its emblematic dishes!"
"Reua Thai","Dorpstraat 45b, Nuth, 6361EK, Netherlands","Nuth, Netherlands","€€",Thai,5.8838304,50.9191536,+31455115382,https://guide.michelin.com/en/limburg/nuth_2216765/restaurant/reua-thai,https://reuathai.com/,"Selected Restaurants",0,"Air conditioning","Reua Thai has a rather rough-hewn feel, with wooden ornaments adding to the unique character of the space. Pattama Simons is an aficionado of authentic Thai cuisine but adds a touch of finesse. She often works with produce from her own garden or local suppliers and takes the time to create depth in her cooking. For example, she infuses beef stock with cinnamon, lemongrass, peanut and coriander to achieve a vibrant and subtly spicy flavour profile. This broth serves as a rich foundation to elevate chopped beef, rice noodles and daikon. With a choice of options for each course, the set menu is recommended to fully appreciate this aromatic cuisine."
"Restobar Vista","Holland Amerikakade 104, Rotterdam, 3072 MC, Netherlands","Rotterdam, Netherlands","€€€","Modern French",4.4883515,51.9069713,+31103042300,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/restobar-vista,https://vistarotterdam.nl/,"Selected Restaurants",0,"Air conditioning,Great view,Terrace,Wheelchair access","Dine against the stunning backdrop of the Rotterdam skyline and the Nieuwe Maas River at Restobar Vista. On the ground floor of the De Rotterdam building, the tastefully modern restaurant is done out in muted colours. The team assembled by Henrie van der Heijden, head chef at Vista in Willemstad, creates distinctly French dishes, with the occasional nod to the Mediterranean. Think succulent roasted tournedos on a bed of caramelised onion, accompanied by a rich Madeira sauce and potato rösti. The chefs eschew complexity and delight diners with their unpretentious dishes. The extensive menu and fantastic value for money will bring a smile to your face."
"Alma Bistro","Ginnekenstraat 88, Breda, 4811 JJ, Netherlands","Breda, Netherlands","€€€","Modern French",4.7771145,51.5838108,+31767002621,https://guide.michelin.com/en/noord-brabant/breda/restaurant/alma-bistro,https://www.alma.nl/bistro,"Selected Restaurants",0,"","Located in an imposing building in the centre of Breda, this bistro exudes elegance and charm. The kitchen on the upper floor catches your eye as soon as you enter. Chef Wouter van Laarhoven and sommelier Malou Hagenaars, the duo behind Alma in Oisterwijk, have assembled a team who handle the finest ingredients with sensibility. Their cuisine is distinctive and ambitious. Highlights of the menu include steak tartare or whole turbot. Scallops are paired with a foie gras cream, crushed hazelnuts and a rice wine and vinegar sauce infused with yuzu. Be sure to explore the tempting wine list!"
"'t Spiehuis","Biltseweg 45, Soest, 3763 LD, Netherlands","Soest, Netherlands","€€€","Classic French",5.2461355,52.1720601,+31356668236,https://guide.michelin.com/en/utrecht/soest/restaurant/t-spiehuis,https://hetspiehuis.nl/,"Selected Restaurants",0,"","'t Spiehuis is located in an elegant building that exudes authenticity and evokes nostalgia without feeling kitsch. This long-established restaurant is popular for its traditional approach, and Sidney Heinze, with his deep respect for this institution, is the perfect chef to write its next chapter. Turning out the classics is second nature to him; he lets the rich flavours of his ingredients speak for themselves. For instance, he pairs succulent sautéed scallops with al dente risotto cooked in a poultry stock and enriched with just the right amount of Parmesan and truffle. That is the hallmark of this place: no unnecessary frills, just the familiar indulgence of classic cuisine."
"Akelaŕe","Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain","Donostia / San Sebastián, Spain","€€€€","Creative, Traditional Cuisine",-2.0731493,43.3027805,+34943311209,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/akelare,https://akelarre.net/,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","With his impressive CV and distinctive moustache, chef Pedro Subijana is an icon of the restaurant scene and as such commands the utmost respect. As one of the founding fathers of the New Basque Cuisine movement, he believes in constant evolution, and even if the focus here is squarely on creativity and technique his approach is rooted in tradition. Located inside the spectacular hotel of the same name on Mt Igueldo, Akelaré has already celebrated its golden jubilee, and continues to impress with its interior design, views of the Bay of Biscay and meticulous cuisine. Its versatile tasting options (Aranori and Bekarki), which enable guests to mix and match dishes between the two menus, are based on well-established house specialities and innovative new recipes, all of which demonstrate an impressive gastronomic flair. One of its latest innovations is a new plated version of its famous Gin & Tonic, which now comes in the form of a Gin & Tonic tartlet."
"Martín Berasategui","Loidi 4, Lasarte - Oria, 20160, Spain","Lasarte - Oria, Spain","€€€€",Creative,-2.0157211,43.2669352,+34943366471,https://guide.michelin.com/en/pais-vasco/lasarte-oria/restaurant/martin-berasategui,https://www.martinberasategui.com/es/inicio,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Terrace","As a subtle tribute to his father, Martín Berasategui has based the logo of his restaurant on his own handwritten signature, but he could well have his name up in gold lettering! This humble and jovial chef considers himself to be merely a “conveyor of happiness” who owes his success to the passion and effort that he always puts into his work, the unwavering support of his wife (Oneka Arregui) and, as he says himself, his incredible team. In this elegant space with no shortage of relaxing views of the surrounding countryside, diners can experience a hedonistic approach to cuisine that is highly original and creative. The fixed priced à la carte and the tasting menu both combine the restaurant's signature dishes (caramelised millefeuille with smoked eel, foie gras, spring onion and green apple) with entirely new creations (suckling lamb chop, liquid fritter, spicy carrots and shallot stuffed with Iberian pork). All the dishes also specify the year in which they were created."
Lasarte,"Mallorca 259, Barcelona, 08008, Spain","Barcelona, Spain","€€€€",Creative,2.1622018,41.3936278,+34934453242,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,https://www.restaurantlasarte.com/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","It's unusual to find spin-offs that manage to live up to the standards set by the original, but that is exactly what has happened in this incredible restaurant, named after the town in which legendary Martín Berasategui chef has built his culinary empire. Here, Paolo Casagrande, the protégé of this San Sebastián culinary maestro, puts his own spin on exquisite dishes first conceived by his mentor, showcasing them in a more avant-garde setting (undulating ceilings that mimic waves, ethereal lamps that resemble jellyfish, golden tones etc). Whether you order from the à la carte or opt for one of several tasting menus, your experience is taken to the next level if you sit at the Chef's Table, an exclusive space where you can watch the chefs in action through a large window and savour the exclusive Il Milione menu, inspired by the journeys of Marco Polo through dishes such as cold white asparagus juice with strawberry and shrimp; wild “land and sea” risotto; and grilled king fish with vinaigrette, truffled roots, aniseed crab reduction and Amarena cherry)."
ABaC,"Avenida del Tibidabo 1, Barcelona, 08022, Spain","Barcelona, Spain","€€€€",Creative,2.1367664,41.4103822,+34933196600,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,https://abacrestaurant.com,"3 Stars",0,"Air conditioning,Interesting wine list,Terrace","Tradition, cutting-edge, flavour, attitude and passion, along with a consistent approach, define to perfection the cooking of Jordi Cruz. In his elegant restaurant boasting views of a tranquil garden dotted with some amazing works of contemporary art, he offers diners a unique gastronomic experience that constantly evolves in line with ingredients from the changing seasons. These are always combined with his technical ability as he revisits Mediterranean flavours with a nod to influences from elsewhere around the globe. The experience here, which begins with appetisers in the kitchen, is centred around a single tasting menu featuring new recipes alongside the restaurant’s renowned signature dishes. One of his extraordinary dishes is his tribute to Le Petit Prince, writer Antoine de Saint-Exupéry’s iconic fable, which features a half sphere of Crema Catalana with nitro/lio creamy popcorn, burnt caramel ice-cream and rice water."
Disfrutar,"Villarroel 163, Barcelona, 08036, Spain","Barcelona, Spain","€€€€",Creative,2.1530369,41.3879756,+34933486896,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,https://www.disfrutarbarcelona.com/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","This restaurant is characterised by the inventive spirit of the three chefs at the helm (Eduard Xatruch, Oriol Castro and Mateu Casañas), who have made creativity their watchword – clearly their time working alongside Ferran Adrià at El Bulli made a real impression! What's so special about this place? Firstly, the food itself is highly innovative, with the chefs playing with shapes, textures and flavours and exhibiting indisputable craftsmanship. In addition, a constant stream of innovations emerges from their laboratory, such as their “solid bubbles” or, even more remarkably, a “living table” that changes as the meal progresses (the latter experience is by prior reservation only). It could be said that, despite the superb ingredients on display, you probably come here more to enjoy the extraordinary overall experience and to admire the incredible expertise of Disfrutar’s chefs. Choose between two tasting menus: Classic, featuring the restaurant’s signature dishes (such as the multi-spherical pesto with smoked eel and pistachios); and Festival, which showcases its latest seasonal creations. One of the drinks pairing options is alcohol-free."
Arzak,"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain","Donostia / San Sebastián, Spain","€€€€","Creative, Traditional Cuisine",-1.9490932,43.3214016,+34943278465,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/arzak,http://www.arzak.es,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","This restaurant is a real institution in San Sebastián as it has been Michelin starred since 1974. Hospitality, history and modernity converge in this century-old family mansion in Alto de Miracruz, a culinary mecca run by the tandem of Juan Mari Arzak and his daughter Elena (the latter taking over the reins in magnificent fashion) who have succeeded in perfectly combining the most surprising innovations with expertise rooted in Basque tradition. The creativity, presentation and intense flavours of their dishes are the result of experiments conducted in the Laboratorio Arzak in the same building, where they work, with utmost respect, with a “flavour workbench” of more than 1 000 ingredients of the very best quality. Guests can choose between an extensive tasting menu with a wine-pairing option, and the set menu-style à la carte, with a choice of dishes that varies with the seasons. The roast duck with cacao, dehydrated orange and carob Turkish delight completely bowled us over!"
